Date,HG_Price,HG1_logret,DXY_Price,DXY_logret,PMI,PMI_change,LME_Stocks,STOCKS_logret,Forecasted_Return,Signal,Model_Alpha,Model_Beta_DXY,Model_Beta_PMI,Model_Beta_STOCKS,Model_R2
2024-07-11,6.64,-2.82127100943563,153.97,-1.1751168282509816,49.46060606060606,-0.0030303030303002743,206775,5.619875156739246,-0.0942383161672742,SHORT,0.06631265386731346,-0.06633340201829312,1.4166573455959488,-0.07450380140504816,0.0328183813446572
2024-07-12,6.76,1.7910926566530243,153.29,-0.44262260638114487,49.45757575757575,-0.0030303030303073797,206225,-0.26634398311746976,-0.28767572577968425,SHORT,0.05997420521295012,-0.06159117934830561,1.6081634273444734,-0.07387237762954724,0.033029559797617014
2024-07-15,6.68,-1.1904902506318427,153.75,0.29963545086112414,49.448484848484846,-0.0030303030303073797,210325,1.9686147690081899,0.10135961850641531,LONG,0.05941482470351652,-0.057555853339692375,1.4906852182242996,-0.07879472129827217,0.03588139779482091
2024-07-16,6.62,-0.9022617599637419,155.08,0.8613206116101209,49.445454545454545,-0.0030303030303002743,216475,2.8821113896987693,-0.11268147203916405,SHORT,0.06398138749078881,-0.05571555268510362,1.4502107304611418,-0.07902710538357605,0.03558548394312433
2024-07-17,6.55,-1.063032030175637,154.16,-0.5950088696617476,49.442424242424245,-0.0030303030303002743,221100,2.1140020529535737,-0.21598159812633505,SHORT,0.07117894104330123,-0.05824525439583891,1.2038830251428916,-0.08096306460771326,0.037724066933544353
2024-07-18,6.36,-2.943667229512964,154.7,0.3496733472909518,49.43939393939394,-0.0030303030303073797,227425,2.8205425844725007,-0.07185416781810501,SHORT,0.06884940321392406,-0.05882482545134748,1.233679081714739,-0.08134639331682963,0.03824732363553329
2024-07-19,6.33,-0.4728141195946012,155.95,0.80476854747918,49.43636363636364,-0.0030303030303002743,231425,1.743533324514949,-0.18391631819990195,SHORT,0.07118221153417816,-0.05072151660515603,1.108154269608125,-0.08296436483181255,0.03861068715342808
2024-07-22,6.32,-0.1581027997318707,157.1,0.7347102207763345,49.42727272727273,-0.0030303030303002743,234400,1.2773210749582544,-0.1272647101001385,SHORT,0.06719504968098622,-0.054005828158273456,1.0833353445064815,-0.08472148564329028,0.04001230465901462
2024-07-23,6.29,-0.47581374464169235,157.89,0.5016042772221694,49.42424242424242,-0.0030303030303073797,236700,0.9764458817080596,-0.08607102157410934,SHORT,0.061471897662677244,-0.04831232751555549,1.2141379541825417,-0.08484018202188828,0.04024935784733341
2024-07-24,6.22,-1.1191163961261104,158.01,0.07597341296104602,49.42121212121212,-0.0030303030303002743,241750,2.111061781346552,-0.04540506140292691,NEUTRAL,0.06535527876604161,-0.054157246114009766,1.1095010970817143,-0.08216810664267783,0.03853697753865404
2024-07-25,6.3,1.2779726646399021,159.24,0.7754175968708821,49.418181818181814,-0.0030303030303073797,239425,-0.966391892572065,-0.11844534337009165,SHORT,0.06252039036850761,-0.0552736195704028,1.167447445786634,-0.08205761205621698,0.03875297123035881
2024-07-26,6.29,-0.15885626851378415,159.18,-0.037686075441323075,49.415151515151514,-0.0030303030303002743,237750,-0.7020513982183344,0.0966397798152173,LONG,0.06256659783775066,-0.05518027800592544,1.1161318041590222,-0.08303376585484985,0.03943821024977534
2024-07-29,6.25,-0.637960696403904,160.02,0.5263170044274691,49.406060606060606,-0.0030303030303002743,239100,0.566217303877928,0.1209486762014671,LONG,0.06381168840529865,-0.05250627751529909,1.1382379513003544,-0.08348026700373506,0.039522954761643914
2024-07-30,6.24,-0.1601281366973768,159.87,-0.09378224451773297,49.4030303030303,-0.0030303030303073797,239400,0.12539186595936813,-0.0159092581539039,NEUTRAL,0.06252457416777987,-0.052688632881803484,1.159775311822998,-0.08333980245902745,0.03948589042107353
2024-07-31,6.4,2.531780798429,159.41,-0.2881485331245378,49.4,-0.0030303030303002743,239275,-0.05222750419025653,0.05117204241935198,LONG,0.06020338075644935,-0.053556422517806776,1.1938493225911428,-0.08322911976252706,0.039566561600223316
2024-08-01,6.25,-2.3716526617316043,159.96,0.3444284333062462,49.39,-0.00999999999999801,245150,2.4256750015272157,0.07184696340946412,LONG,0.05613312856197546,-0.053058331446242835,1.295844004095547,-0.08332687060388606,0.040024547609776584
2024-08-02,6.29,0.6379606964038987,158.32,-1.0305482684307394,49.379999999999995,-0.010000000000005116,246500,0.5491725385502544,-0.17408519902534417,SHORT,0.05959349339818656,-0.05347834394090847,1.3259519356456138,-0.0832756699559989,0.03981114048689782
2024-08-05,6.18,-1.764279924274979,158.61,0.1830057621158423,49.35,-0.00999999999999801,251350,1.9484396655839458,0.04345546608249629,NEUTRAL,0.050390608681293705,-0.05246935810781664,1.4906855088564654,-0.08394537311644786,0.04084884344013351
2024-08-06,6.19,0.16168152269054775,158.28,-0.2082742398245055,49.339999999999996,-0.010000000000005116,252575,0.4861844175211653,-0.13321252087511098,SHORT,0.055275599536689854,-0.058015333259551,1.5219047097816067,-0.08347804446265594,0.04130525555812936
2024-08-07,6.03,-2.6188075957410684,157.4,-0.5575280533920703,49.33,-0.00999999999999801,294750,15.441930510368437,0.007266648924965952,NEUTRAL,0.05090781796949981,-0.06058537844025512,1.536274569457303,-0.08411786868363938,0.04206506723972747
2024-08-08,6.03,0.0,157.09,-0.19714464714544264,49.32,-0.00999999999999801,294425,-0.11032376898681717,-1.2315094128780482,SHORT,0.053341751699206234,-0.059186255256787175,1.5490184929994268,-0.08433912951840322,0.0421935637431361
2024-08-09,6.07,0.6611594332312789,156.67,-0.2677207106452749,49.31,-0.00999999999999801,296400,0.668559169431959,0.057952530951721565,LONG,0.05225987449946185,-0.05777381679365176,1.5600013929452463,-0.08976190486079628,0.04882299222262332
2024-08-12,6.16,1.4718172474021485,156.25,-0.2684393788884705,49.28,-0.00999999999999801,296125,-0.09282309429823325,-0.010684485106698186,NEUTRAL,0.04665503455641491,-0.06500368426962355,1.5285808117267057,-0.08893235903650981,0.04924398529847018
2024-08-13,6.13,-0.4882027597308421,155.18,-0.6871555150707637,49.27,-0.00999999999999801,305625,3.1577197750186836,0.060062652806996686,LONG,0.0491875088888705,-0.06685216795730396,1.5323111382232677,-0.0889056857987818,0.0494031788859991
2024-08-14,6.1,-0.4905978768854518,154.91,-0.1741430347531705,49.26,-0.010000000000005116,307425,0.5872294829374576,-0.1979735397035349,SHORT,0.05142403203075862,-0.06766189769489951,1.5100643205156723,-0.08892213201175599,0.04931778665429387
2024-08-15,6.26,2.5891413932741707,155.34,0.277195987322973,49.25,-0.00999999999999801,307450,0.008131734096766373,-0.004081098726225085,NEUTRAL,0.051486604212117676,-0.0687907500201925,1.5200222377203514,-0.08914217023086643,0.04966528589406494
2024-08-16,6.24,-0.3200002730670791,154.37,-0.6263944797751357,49.24,-0.00999999999999801,309050,0.5190603705803588,0.013620183687898822,NEUTRAL,0.0479460520820429,-0.06716321318217656,1.4971954839679538,-0.090576051293126,0.05074328900164182
2024-08-19,6.23,-0.1603849581974516,151.72,-1.731560137305183,49.21,-0.00999999999999801,308075,-0.31598162810954783,0.033150773174087836,NEUTRAL,0.05419486338035335,-0.06506158623505652,1.4695677526010908,-0.09074595906955038,0.05015966883381007
2024-08-20,6.16,-1.1299555253933395,150.38,-0.8871292870817409,49.2,-0.00999999999999801,320050,3.813397376382557,0.17723490059606933,LONG,0.05478353021425866,-0.0626564157311152,1.4804583901511719,-0.09102618601271106,0.0501997316261128
2024-08-21,6.22,0.9693129205659533,149.94,-0.2930209874964833,49.19,-0.010000000000005116,319625,-0.13287999766617278,-0.25330752647683313,SHORT,0.05319352231455036,-0.06186924506069109,1.476333006110394,-0.09089630683127788,0.05000051442550979
2024-08-22,6.18,-0.6451635281488719,151.15,0.8037507150551142,49.18,-0.00999999999999801,319700,0.02346224544449937,0.06645197032908202,LONG,0.05126404191336692,-0.0608024234500212,1.4812937569408748,-0.09169536452158358,0.05069743023839657
2024-08-23,6.2,0.323102058144654,148.74,-1.607290595031289,49.17,-0.00999999999999801,315575,-1.298668442687047,-0.01499961583041684,NEUTRAL,0.05149394917041768,-0.061903999942197876,1.4594731830111751,-0.09135736634768236,0.05038358783374974
2024-08-26,6.22,0.3220614700042157,148.73,-0.006723367064770459,49.14,-0.00999999999999801,315575,0.0,0.2594272598947062,LONG,0.046105273420684115,-0.06900726077186586,1.4481009771202362,-0.09000624884353005,0.050123883514359036
2024-08-27,6.35,2.068490615351211,148.3,-0.2895332460620014,49.13,-0.00999999999999801,317175,0.5057300387736617,0.03350512450310904,NEUTRAL,0.047616828037002026,-0.06826749633827478,1.4570690970370983,-0.09025095654810884,0.050374425642473186
2024-08-28,6.21,-2.22939169592128,148.86,0.3769017787878203,49.120000000000005,-0.00999999999999801,314250,-0.9264824556305173,0.007742651874104833,NEUTRAL,0.048170101747657734,-0.06822895579415145,1.4531546471134025,-0.09026644839926937,0.05034033524771098
2024-08-29,6.22,0.16090108057006858,149.21,0.2348442720565658,49.11,-0.010000000000005116,322950,2.7308665008124877,0.09712591121541309,LONG,0.05399863328231695,-0.06843945118703028,1.4437659663016802,-0.08997460014613383,0.0498420185298587
2024-08-30,6.21,-0.16090108057006625,149.89,0.45469820901739844,49.1,-0.00999999999999801,320925,-0.6290061507491468,-0.22619779290303424,SHORT,0.04817486946554181,-0.0693438736410394,1.4668699478731761,-0.08913615927054741,0.048885056157514595
2024-09-03,6.09,-1.9512814223581716,151.63,1.1541651070343506,49.19032258064516,0.022580645161283996,317800,-0.9785196868374612,0.05802820083864902,LONG,0.048387866739392195,-0.06954784087325051,1.4588859289543754,-0.0887947947859832,0.04864093297460348
2024-09-04,6.06,-0.49382816405825664,150.48,-0.7613157820072984,49.21290322580645,0.022580645161291102,318650,0.2671067657687473,0.09353550889606724,LONG,0.05103201183462766,-0.06757599733856505,1.485003262584562,-0.08887406630310539,0.0486993420152273
2024-09-05,6.16,1.6366977464205412,150.41,-0.04652863256529068,49.23548387096774,0.022580645161291102,317175,-0.46396497336411807,0.1134609188473961,LONG,0.049856104576006866,-0.0712988527242032,1.45498375414877,-0.08809435937242172,0.04824788437584615
2024-09-06,6.07,-1.4718172474021534,150.71,0.1992561764463135,49.25806451612903,0.022580645161291102,317575,0.12603388828624407,0.1279907302895841,LONG,0.050808338234223954,-0.07011752942012757,1.4505002149413968,-0.08872800964720551,0.048657278550238825
2024-09-09,6.23,2.6017727727954876,152.65,1.2790258749301926,49.325806451612905,0.022580645161291102,316450,-0.35487596882100997,0.07089247478269076,LONG,0.059408127117216346,-0.06101514194419765,1.5580312202912336,-0.0915575861215801,0.05069230164326144
2024-09-10,6.16,-1.1299555253933395,152.86,0.1374750633851254,49.348387096774196,0.022580645161291102,316175,-0.08693934552743136,0.045238560924818275,NEUTRAL,0.05904759396474847,-0.06390223697121461,1.5530212400652126,-0.09258265661511893,0.05166598459083327
2024-09-11,6.24,1.2903404835908001,153.28,0.27438444078123175,49.37096774193548,0.022580645161283996,314950,-0.3881961698102069,0.0918915689780374,LONG,0.05827907724263358,-0.06854708916427314,1.5599199428817325,-0.0898558461131888,0.049633771007487226
2024-09-12,6.27,0.4796172263493014,151.48,-1.1812711188956466,49.39354838709677,0.022580645161291102,311650,-1.0533132813078419,0.1090444211709943,LONG,0.057774976207123824,-0.06863544411007386,1.5502434165123917,-0.0904090486752115,0.0499764289351361
2024-09-13,6.31,0.6359321908292421,150.57,-0.6025510698642111,49.41612903225806,0.022580645161291102,311525,-0.04011714259283755,0.2631217061961476,LONG,0.055408367434356544,-0.06656295951645594,1.508610042008733,-0.09020967525771806,0.04968044657229176
2024-09-16,6.35,0.6319136351478533,149.62,-0.6329345890693031,49.483870967741936,0.022580645161291102,308550,-0.9595687061855438,0.13506260269058057,LONG,0.056189853548724925,-0.06780507989828748,1.523498240600131,-0.09011490595835221,0.04984867847690966
2024-09-17,6.32,-0.4735604745834127,149.17,-0.3012151278419938,49.50645161290323,0.022580645161291102,306500,-0.6666149390809738,0.22086245146930905,LONG,0.056794535656190415,-0.06789173968695371,1.5328152224803155,-0.0901289592490943,0.04987142945490597
2024-09-18,6.35,0.4735604745834029,148.62,-0.3693882436515807,49.52903225806452,0.022580645161291102,305250,-0.4086642385452016,0.1730636344942174,LONG,0.057304159101757846,-0.06919547973113901,1.5427316048989819,-0.09012830593423796,0.05009105231078814
2024-09-19,6.39,0.6279455484843102,147.84,-0.526210483594919,49.5516129032258,0.022580645161283996,304925,-0.1065268261512051,0.15499927318956713,LONG,0.05783552276644696,-0.06847643282264063,1.5504376356034595,-0.09019501977511464,0.05012427232803729
2024-09-20,6.39,0.0,148.26,0.28368813351995353,49.57419354838709,0.022580645161291102,303350,-0.5178590340995134,0.1404052861804329,LONG,0.05933884540801684,-0.06825533114651872,1.5737332852790056,-0.09024822587732212,0.05023865204191924
