position_id,entry_date,exit_date,contract,entry_price,exit_price,num_contracts,direction,directional_pnl,transaction_costs,net_pnl,exit_reason,holding_days,initial_stop,final_stop,highest_price,lowest_price,atr,carry_spread,carry_multiplier
27,2025-06-23,2025-06-24,HGQ25,7.58,7.53,8,LONG,-9999.999999999964,520.0,-10519.999999999964,ROLL,1,7.3603571428571435,7.376428571428572,7.58,,0.13642857142857132,0.040000000000000036,0.25
28,2025-06-24,2025-06-26,HGU25,7.57,7.78,8,LONG,41999.99999999999,520.0,41479.99999999999,STOP_LIMIT_FILLED,2,0.0,7.578571428571429,7.78,,0.13642857142857132,0.040000000000000036,0.25
29,2025-06-27,2025-06-30,HGU25,7.81,7.71,9,LONG,-22499.99999999992,585.0,-23084.99999999992,SIGNAL_REVERSAL,3,7.6085714285714285,7.6085714285714285,7.81,,0.13571428571428568,0.040000000000000036,0.25
30,2025-07-01,2025-07-03,HGU25,7.76,7.83,7,LONG,12250.00000000005,455.0,11795.00000000005,SIGNAL_REVERSAL,2,7.5060714285714285,7.658571428571428,7.92,,0.17428571428571424,0.03000000000000025,0.25
31,2025-07-08,2025-07-09,HGU25,8.72,8.4,14,SHORT,112000.0000000001,910.0,111090.0000000001,STOP_LIMIT_FILLED,1,8.977142857142859,8.72,,8.4,0.2585714285714286,0.03999999999999915,1.0
32,2025-07-10,2025-07-14,HGU25,8.52,8.47,8,SHORT,9999.999999999787,520.0,9479.999999999787,SIGNAL_REVERSAL,4,8.946428571428571,8.917857142857143,,8.47,0.29285714285714287,0.040000000000000924,1.0
33,2025-07-18,2025-07-21,HGU25,8.59,8.64,8,SHORT,-10000.000000000142,520.0,-10520.000000000142,SIGNAL_REVERSAL,3,9.027142857142858,9.027142857142858,,8.59,0.29142857142857137,0.02999999999999936,1.0
34,2025-07-22,2025-07-24,HGU25,8.74,8.78,2,LONG,1999.9999999999573,130.0,1869.9999999999573,ROLL,2,8.299642857142857,8.375,8.84,,0.3021428571428571,0.02999999999999936,0.25
35,2025-07-24,2025-07-25,HGV25,8.81,8.82,2,LONG,499.9999999999893,130.0,369.9999999999893,SIGNAL_REVERSAL,1,0.0,8.344285714285714,8.82,,0.3021428571428571,0.02999999999999936,0.25
36,2025-07-29,2025-07-30,HGV25,8.65,8.65,9,SHORT,0.0,585.0,-585.0,SIGNAL_REVERSAL,1,9.042142857142856,9.042142857142856,,8.65,0.2414285714285715,0.02999999999999936,1.0
37,2025-09-03,2025-09-04,HGV25,7.04,6.97,60,SHORT,105000.00000000042,3900.0,101100.00000000042,SIGNAL_REVERSAL,1,7.166428571428572,7.0996428571428565,,6.97,0.08500000000000003,0.040000000000000036,1.0
38,2025-09-04,2025-09-05,HGV25,6.97,6.9,15,LONG,-26249.999999999774,975.0,-27224.999999999774,SIGNAL_REVERSAL,1,6.842499999999999,6.842499999999999,6.97,,0.08642857142857142,0.040000000000000036,0.25
39,2025-09-08,2025-09-15,HGV25,6.89,7.05,14,LONG,56000.00000000005,910.0,55090.00000000005,SIGNAL_REVERSAL,7,6.753928571428571,6.9075,7.05,,0.08928571428571429,0.03000000000000025,0.25
40,2025-09-16,2025-09-19,HGV25,6.99,6.98,13,LONG,-3249.9999999999304,845.0,-4094.9999999999304,SIGNAL_REVERSAL,3,6.8475,6.849642857142857,6.99,,0.09714285714285723,0.040000000000000036,0.25
41,2025-09-23,2025-09-24,HGV25,6.99,7.26,14,LONG,94499.99999999985,910.0,93589.99999999985,STOP_LIMIT_FILLED,1,6.860357142857143,7.108928571428571,7.26,,0.08285714285714293,0.040000000000000036,0.25
42,2025-09-30,2025-10-31,HGV25,7.29,7.29,10,LONG,0.0,650.0,-650.0,END_OF_BACKTEST,31,7.097142857142857,7.097142857142857,7.29,,0.13500000000000004,0.040000000000000036,0.25
